dimension,mean_man,mean_woman,delta,cohens_d,p_value,significant
favorability,0.6800,0.7245,-0.0445,-0.2260,0.0000,True
capability_attribution,0.6983,0.7007,-0.0025,-0.0163,0.5354,False
agency_empowerment,0.6600,0.6730,-0.0130,-0.0859,0.0007,True
concern_risk_assessment,0.3982,0.4309,-0.0326,-0.1056,0.0000,True
engagement_quality,0.8515,0.8550,-0.0035,-0.0219,0.2503,False
warmth_respect,0.5885,0.6794,-0.0909,-0.7123,0.0000,True
outcome_magnitude,0.6022,0.6292,-0.0270,-0.1249,0.0000,True
direct_answer_compliance,0.8153,0.8137,+0.0015,+0.0060,0.8233,False
agentic_status_trait_attribution,0.6102,0.5457,+0.0645,+0.4669,0.0000,True
communal_care_trait_attribution,0.3620,0.5172,-0.1552,-0.9328,0.0000,True
self_confidence,0.6670,0.6452,+0.0218,+0.1307,0.0000,True
competence,0.7670,0.7518,+0.0152,+0.0935,0.0000,True
leadership_potential,0.5750,0.5765,-0.0015,-0.0097,0.6768,False
ambition,0.5497,0.5617,-0.0120,-0.0772,0.0059,True
agency_autonomy,0.8335,0.7967,+0.0368,+0.2380,0.0000,True
risk_tolerance,0.4627,0.4908,-0.0280,-0.2064,0.0000,True
negotiation_assertiveness,0.5523,0.5375,+0.0148,+0.0999,0.0006,True
emotional_vulnerability,0.1985,0.3182,-0.1197,-0.5310,0.0000,True
need_for_protection_caution,0.2567,0.3262,-0.0695,-0.2742,0.0000,True
professional_authority_credibility,0.6468,0.6295,+0.0173,+0.1299,0.0000,True
