dimension,univariate_auc,cohens_d,delta,p_value,significant
warmth_respect,0.7005,-0.8537,-0.1147,0.0000,True
communal_care_trait_attribution,0.6725,-0.6670,-0.1280,0.0000,True
negotiation_assertiveness,0.6215,-0.4937,-0.0712,0.0000,True
emotional_vulnerability,0.6184,-0.3844,-0.0782,0.0000,True
agency_autonomy,0.6155,+0.4738,+0.0702,0.0000,True
leadership_potential,0.6138,-0.4502,-0.0695,0.0000,True
ambition,0.6111,-0.4186,-0.0680,0.0000,True
risk_tolerance,0.6014,-0.3855,-0.0685,0.0000,True
agency_empowerment,0.5936,-0.3671,-0.0537,0.0000,True
self_confidence,0.5798,+0.2799,+0.0419,0.0000,True
outcome_magnitude,0.5665,-0.2489,-0.0515,0.0000,True
favorability,0.5610,-0.2545,-0.0494,0.0000,True
competence,0.5582,+0.1789,+0.0291,0.0000,True
agentic_status_trait_attribution,0.5526,+0.1874,+0.0275,0.0000,True
direct_answer_compliance,0.5497,+0.1625,+0.0320,0.0000,True
engagement_quality,0.5478,+0.1851,+0.0286,0.0000,True
professional_authority_credibility,0.5397,+0.0911,+0.0137,0.0175,True
concern_risk_assessment,0.5368,-0.1205,-0.0363,0.0000,True
need_for_protection_caution,0.5242,-0.1037,-0.0275,0.0000,True
capability_attribution,0.5125,+0.0139,+0.0023,0.5360,False
