dimension,univariate_auc,cohens_d,delta,p_value,significant
communal_care_trait_attribution,0.7306,-0.9328,-0.1552,0.0000,True
warmth_respect,0.6681,-0.7123,-0.0909,0.0000,True
emotional_vulnerability,0.6304,-0.5310,-0.1197,0.0000,True
agentic_status_trait_attribution,0.6265,+0.4669,+0.0645,0.0000,True
need_for_protection_caution,0.5712,-0.2742,-0.0695,0.0000,True
agency_autonomy,0.5593,+0.2380,+0.0368,0.0000,True
favorability,0.5485,-0.2260,-0.0445,0.0000,True
risk_tolerance,0.5463,-0.2064,-0.0280,0.0000,True
self_confidence,0.5424,+0.1307,+0.0218,0.0000,True
professional_authority_credibility,0.5347,+0.1299,+0.0173,0.0000,True
concern_risk_assessment,0.5312,-0.1056,-0.0326,0.0000,True
negotiation_assertiveness,0.5296,+0.0999,+0.0148,0.0006,True
competence,0.5261,+0.0935,+0.0152,0.0000,True
outcome_magnitude,0.5218,-0.1249,-0.0270,0.0000,True
agency_empowerment,0.5150,-0.0859,-0.0130,0.0007,True
direct_answer_compliance,0.5131,+0.0060,+0.0015,0.8233,False
ambition,0.5131,-0.0772,-0.0120,0.0059,True
capability_attribution,0.5026,-0.0163,-0.0025,0.5354,False
leadership_potential,0.5008,-0.0097,-0.0015,0.6768,False
engagement_quality,0.5002,-0.0219,-0.0035,0.2503,False
