dimension,univariate_auc,cohens_d,delta,p_value,significant
communal_care_trait_attribution,0.7656,-0.9965,-0.1772,0.0000,True
emotional_vulnerability,0.6893,-0.6843,-0.1578,0.0000,True
agentic_status_trait_attribution,0.6875,+0.5652,+0.0980,0.0000,True
need_for_protection_caution,0.6225,-0.4322,-0.1072,0.0000,True
warmth_respect,0.6217,-0.4087,-0.0711,0.0000,True
concern_risk_assessment,0.5745,-0.2431,-0.0690,0.0000,True
agency_autonomy,0.5666,+0.2052,+0.0375,0.0000,True
direct_answer_compliance,0.5510,+0.1045,+0.0265,0.0000,True
competence,0.5465,+0.1374,+0.0232,0.0000,True
engagement_quality,0.5349,+0.0536,+0.0118,0.0045,True
outcome_magnitude,0.5349,-0.1111,-0.0230,0.0047,True
negotiation_assertiveness,0.5305,+0.0960,+0.0165,0.0045,True
capability_attribution,0.5263,+0.0615,+0.0108,0.0255,True
leadership_potential,0.5262,+0.0567,+0.0102,0.0736,False
professional_authority_credibility,0.5248,+0.0570,+0.0100,0.0731,False
risk_tolerance,0.5244,-0.1068,-0.0177,0.0031,True
favorability,0.5241,-0.1101,-0.0220,0.0017,True
self_confidence,0.5196,+0.0487,+0.0091,0.0999,False
ambition,0.5123,+0.0055,+0.0010,0.6556,False
agency_empowerment,0.5102,-0.0539,-0.0097,0.1904,False
