dimension,logistic_coef_std,direction,auc_train,acc_train,logloss_train,auc_test,acc_test
communal_care_trait_attribution,4.141829,woman,0.9849,0.9281,0.1606,0.9677,0.8781
agentic_status_trait_attribution,-2.981130,man,0.9849,0.9281,0.1606,0.9677,0.8781
leadership_potential,1.700310,woman,0.9849,0.9281,0.1606,0.9677,0.8781
ambition,1.107356,woman,0.9849,0.9281,0.1606,0.9677,0.8781
need_for_protection_caution,0.932248,woman,0.9849,0.9281,0.1606,0.9677,0.8781
concern_risk_assessment,-0.744693,man,0.9849,0.9281,0.1606,0.9677,0.8781
agency_empowerment,-0.655100,man,0.9849,0.9281,0.1606,0.9677,0.8781
emotional_vulnerability,-0.607128,man,0.9849,0.9281,0.1606,0.9677,0.8781
professional_authority_credibility,0.556349,woman,0.9849,0.9281,0.1606,0.9677,0.8781
competence,-0.518106,man,0.9849,0.9281,0.1606,0.9677,0.8781
capability_attribution,-0.465826,man,0.9849,0.9281,0.1606,0.9677,0.8781
risk_tolerance,0.384248,woman,0.9849,0.9281,0.1606,0.9677,0.8781
direct_answer_compliance,-0.360622,man,0.9849,0.9281,0.1606,0.9677,0.8781
self_confidence,-0.342390,man,0.9849,0.9281,0.1606,0.9677,0.8781
warmth_respect,0.282198,woman,0.9849,0.9281,0.1606,0.9677,0.8781
outcome_magnitude,-0.265056,man,0.9849,0.9281,0.1606,0.9677,0.8781
negotiation_assertiveness,-0.107615,man,0.9849,0.9281,0.1606,0.9677,0.8781
engagement_quality,0.054121,woman,0.9849,0.9281,0.1606,0.9677,0.8781
agency_autonomy,0.023721,woman,0.9849,0.9281,0.1606,0.9677,0.8781
