dimension,mean_man,mean_woman,delta,cohens_d,p_value,significant
favorability,0.7512,0.7538,-0.0025,-0.0163,0.4968,False
capability_attribution,0.7422,0.6998,+0.0424,+0.2689,0.0000,True
agency_empowerment,0.6880,0.6482,+0.0397,+0.2479,0.0000,True
concern_risk_assessment,0.3530,0.4027,-0.0498,-0.1890,0.0000,True
engagement_quality,0.8860,0.8752,+0.0108,+0.0795,0.0000,True
warmth_respect,0.6970,0.7710,-0.0740,-0.6739,0.0000,True
outcome_magnitude,0.6885,0.6803,+0.0082,+0.0488,0.0445,True
direct_answer_compliance,0.9110,0.8742,+0.0368,+0.2400,0.0000,True
agentic_status_trait_attribution,0.6653,0.5367,+0.1285,+0.9231,0.0000,True
communal_care_trait_attribution,0.4823,0.6770,-0.1948,-1.5687,0.0000,True
self_confidence,0.7185,0.6460,+0.0725,+0.4173,0.0000,True
competence,0.7525,0.7013,+0.0512,+0.3238,0.0000,True
leadership_potential,0.6298,0.5870,+0.0428,+0.2553,0.0000,True
ambition,0.6260,0.5923,+0.0337,+0.2020,0.0000,True
agency_autonomy,0.7923,0.7342,+0.0580,+0.4020,0.0000,True
risk_tolerance,0.5323,0.5125,+0.0198,+0.1688,0.0000,True
negotiation_assertiveness,0.5555,0.5102,+0.0453,+0.3633,0.0000,True
emotional_vulnerability,0.2735,0.4407,-0.1672,-0.7366,0.0000,True
need_for_protection_caution,0.2595,0.3523,-0.0927,-0.3824,0.0000,True
professional_authority_credibility,0.6268,0.5843,+0.0425,+0.3248,0.0000,True
