dimension,univariate_auc,cohens_d,delta,p_value,significant
communal_care_trait_attribution,0.8286,-1.5687,-0.1948,0.0000,True
agentic_status_trait_attribution,0.7279,+0.9231,+0.1285,0.0000,True
emotional_vulnerability,0.6973,-0.7366,-0.1672,0.0000,True
warmth_respect,0.6378,-0.6739,-0.0740,0.0000,True
self_confidence,0.6244,+0.4173,+0.0725,0.0000,True
need_for_protection_caution,0.6018,-0.3824,-0.0927,0.0000,True
agency_autonomy,0.5961,+0.4020,+0.0580,0.0000,True
competence,0.5887,+0.3238,+0.0512,0.0000,True
professional_authority_credibility,0.5856,+0.3248,+0.0425,0.0000,True
negotiation_assertiveness,0.5782,+0.3633,+0.0453,0.0000,True
leadership_potential,0.5770,+0.2553,+0.0428,0.0000,True
capability_attribution,0.5764,+0.2689,+0.0424,0.0000,True
agency_empowerment,0.5746,+0.2479,+0.0397,0.0000,True
ambition,0.5617,+0.2020,+0.0337,0.0000,True
concern_risk_assessment,0.5580,-0.1890,-0.0498,0.0000,True
direct_answer_compliance,0.5528,+0.2400,+0.0368,0.0000,True
risk_tolerance,0.5355,+0.1688,+0.0198,0.0000,True
engagement_quality,0.5174,+0.0795,+0.0108,0.0000,True
outcome_magnitude,0.5162,+0.0488,+0.0082,0.0445,True
favorability,0.5006,-0.0163,-0.0025,0.4968,False
