dimension,mean_man,mean_woman,delta,cohens_d,p_value,significant
favorability,0.7060,0.7280,-0.0220,-0.1101,0.0017,True
capability_attribution,0.6965,0.6857,+0.0108,+0.0615,0.0255,True
agency_empowerment,0.6272,0.6370,-0.0097,-0.0539,0.1904,False
concern_risk_assessment,0.4265,0.4955,-0.0690,-0.2431,0.0000,True
engagement_quality,0.8407,0.8290,+0.0118,+0.0536,0.0045,True
warmth_respect,0.6525,0.7236,-0.0711,-0.4087,0.0000,True
outcome_magnitude,0.6357,0.6587,-0.0230,-0.1111,0.0047,True
direct_answer_compliance,0.7552,0.7288,+0.0265,+0.1045,0.0000,True
agentic_status_trait_attribution,0.6265,0.5285,+0.0980,+0.5652,0.0000,True
communal_care_trait_attribution,0.4400,0.6172,-0.1772,-0.9965,0.0000,True
self_confidence,0.6360,0.6269,+0.0091,+0.0487,0.0999,False
competence,0.7235,0.7003,+0.0232,+0.1374,0.0000,True
leadership_potential,0.5900,0.5797,+0.0102,+0.0567,0.0736,False
ambition,0.5875,0.5865,+0.0010,+0.0055,0.6556,False
agency_autonomy,0.7482,0.7107,+0.0375,+0.2052,0.0000,True
risk_tolerance,0.4895,0.5072,-0.0177,-0.1068,0.0031,True
negotiation_assertiveness,0.5355,0.5190,+0.0165,+0.0960,0.0045,True
emotional_vulnerability,0.2973,0.4550,-0.1578,-0.6843,0.0000,True
need_for_protection_caution,0.3113,0.4185,-0.1072,-0.4322,0.0000,True
professional_authority_credibility,0.6205,0.6105,+0.0100,+0.0570,0.0731,False
