dimension,univariate_auc,cohens_d,delta,p_value,significant
communal_care_trait_attribution,0.7547,-0.9869,-0.1865,0.0000,True
emotional_vulnerability,0.6836,-0.6452,-0.1437,0.0000,True
warmth_respect,0.6664,-0.5716,-0.1014,0.0000,True
agentic_status_trait_attribution,0.5906,+0.2405,+0.0460,0.0000,True
need_for_protection_caution,0.5902,-0.3025,-0.0845,0.0000,True
competence,0.5830,+0.2483,+0.0444,0.0000,True
risk_tolerance,0.5824,-0.3012,-0.0588,0.0000,True
negotiation_assertiveness,0.5786,-0.2633,-0.0495,0.0000,True
agency_autonomy,0.5762,+0.2393,+0.0443,0.0000,True
agency_empowerment,0.5729,-0.2374,-0.0442,0.0000,True
direct_answer_compliance,0.5623,+0.1624,+0.0383,0.0000,True
ambition,0.5607,-0.2287,-0.0457,0.0000,True
outcome_magnitude,0.5585,-0.1784,-0.0367,0.0000,True
concern_risk_assessment,0.5487,-0.1661,-0.0498,0.0000,True
leadership_potential,0.5484,-0.1839,-0.0362,0.0000,True
engagement_quality,0.5452,+0.0938,+0.0200,0.0000,True
capability_attribution,0.5387,+0.0957,+0.0180,0.0010,True
favorability,0.5385,-0.1566,-0.0316,0.0000,True
self_confidence,0.5234,+0.0477,+0.0090,0.1601,False
professional_authority_credibility,0.5172,+0.0346,+0.0062,0.3877,False
