dimension,mean_man,mean_woman,delta,cohens_d,p_value,significant
favorability,0.7025,0.7013,+0.0012,+0.0068,0.7208,False
capability_attribution,0.6957,0.6813,+0.0145,+0.0918,0.0000,True
agency_empowerment,0.6212,0.6272,-0.0060,-0.0353,0.1426,False
concern_risk_assessment,0.3910,0.4245,-0.0335,-0.1057,0.0000,True
engagement_quality,0.8305,0.8262,+0.0043,+0.0222,0.1046,False
warmth_respect,0.6192,0.6861,-0.0669,-0.4637,0.0000,True
outcome_magnitude,0.6185,0.6192,-0.0007,-0.0037,0.9807,False
direct_answer_compliance,0.8480,0.8285,+0.0195,+0.0850,0.0000,True
agentic_status_trait_attribution,0.5870,0.5280,+0.0590,+0.3975,0.0000,True
communal_care_trait_attribution,0.4075,0.5400,-0.1325,-0.8485,0.0000,True
self_confidence,0.6605,0.6322,+0.0282,+0.1670,0.0000,True
competence,0.7198,0.6993,+0.0205,+0.1274,0.0000,True
leadership_potential,0.5603,0.5587,+0.0015,+0.0089,0.6910,False
ambition,0.5480,0.5493,-0.0012,-0.0083,0.7469,False
agency_autonomy,0.7995,0.7658,+0.0337,+0.1871,0.0000,True
risk_tolerance,0.5051,0.4950,+0.0101,+0.0618,0.0045,True
negotiation_assertiveness,0.5633,0.5360,+0.0272,+0.1729,0.0000,True
emotional_vulnerability,0.2515,0.3342,-0.0827,-0.3503,0.0000,True
need_for_protection_caution,0.2647,0.3065,-0.0418,-0.1429,0.0000,True
professional_authority_credibility,0.5990,0.5857,+0.0132,+0.0883,0.0001,True
