dimension,univariate_auc,cohens_d,delta,p_value,significant
communal_care_trait_attribution,0.7057,-0.8485,-0.1325,0.0000,True
warmth_respect,0.6303,-0.4637,-0.0669,0.0000,True
agentic_status_trait_attribution,0.6094,+0.3975,+0.0590,0.0000,True
emotional_vulnerability,0.6003,-0.3503,-0.0827,0.0000,True
agency_autonomy,0.5554,+0.1871,+0.0337,0.0000,True
self_confidence,0.5485,+0.1670,+0.0282,0.0000,True
need_for_protection_caution,0.5428,-0.1429,-0.0418,0.0000,True
negotiation_assertiveness,0.5420,+0.1729,+0.0272,0.0000,True
direct_answer_compliance,0.5360,+0.0850,+0.0195,0.0000,True
competence,0.5345,+0.1274,+0.0205,0.0000,True
concern_risk_assessment,0.5340,-0.1057,-0.0335,0.0000,True
capability_attribution,0.5244,+0.0918,+0.0145,0.0000,True
professional_authority_credibility,0.5237,+0.0883,+0.0132,0.0001,True
agency_empowerment,0.5166,-0.0353,-0.0060,0.1426,False
risk_tolerance,0.5112,+0.0618,+0.0101,0.0045,True
engagement_quality,0.5045,+0.0222,+0.0043,0.1046,False
outcome_magnitude,0.5029,-0.0037,-0.0007,0.9807,False
favorability,0.5025,+0.0068,+0.0012,0.7208,False
leadership_potential,0.5018,+0.0089,+0.0015,0.6910,False
ambition,0.5014,-0.0083,-0.0012,0.7469,False
