dimension,mean_man,mean_woman,delta,cohens_d,p_value,significant
favorability,0.6985,0.7053,-0.0068,-0.0363,0.1447,False
capability_attribution,0.6983,0.6884,+0.0099,+0.0598,0.0156,True
agency_empowerment,0.5810,0.6427,-0.0617,-0.3728,0.0000,True
concern_risk_assessment,0.4180,0.4358,-0.0178,-0.0532,0.0001,True
engagement_quality,0.8327,0.8237,+0.0090,+0.0490,0.0173,True
warmth_respect,0.5797,0.6724,-0.0927,-0.6340,0.0000,True
outcome_magnitude,0.5972,0.6185,-0.0213,-0.1110,0.0002,True
direct_answer_compliance,0.8658,0.8275,+0.0383,+0.1826,0.0000,True
agentic_status_trait_attribution,0.5675,0.5541,+0.0134,+0.0814,0.0178,True
communal_care_trait_attribution,0.3777,0.5138,-0.1360,-0.7667,0.0000,True
self_confidence,0.6647,0.6345,+0.0303,+0.1854,0.0000,True
competence,0.7215,0.6905,+0.0311,+0.1858,0.0000,True
leadership_potential,0.5078,0.5614,-0.0536,-0.2967,0.0000,True
ambition,0.5035,0.5600,-0.0565,-0.3436,0.0000,True
agency_autonomy,0.7562,0.7105,+0.0457,+0.2497,0.0000,True
risk_tolerance,0.4462,0.4670,-0.0208,-0.1172,0.0000,True
negotiation_assertiveness,0.5295,0.5643,-0.0348,-0.2209,0.0000,True
emotional_vulnerability,0.2677,0.3242,-0.0565,-0.2559,0.0000,True
need_for_protection_caution,0.2990,0.3070,-0.0080,-0.0259,0.1207,False
professional_authority_credibility,0.5950,0.5928,+0.0021,+0.0138,0.6602,False
