dimension,univariate_auc,cohens_d,delta,p_value,significant
communal_care_trait_attribution,0.6956,-0.7667,-0.1360,0.0000,True
warmth_respect,0.6782,-0.6340,-0.0927,0.0000,True
agency_empowerment,0.6167,-0.3728,-0.0617,0.0000,True
ambition,0.5918,-0.3436,-0.0565,0.0000,True
leadership_potential,0.5889,-0.2967,-0.0536,0.0000,True
emotional_vulnerability,0.5800,-0.2559,-0.0565,0.0000,True
agency_autonomy,0.5720,+0.2497,+0.0457,0.0000,True
negotiation_assertiveness,0.5617,-0.2209,-0.0348,0.0000,True
self_confidence,0.5556,+0.1854,+0.0303,0.0000,True
direct_answer_compliance,0.5544,+0.1826,+0.0383,0.0000,True
competence,0.5543,+0.1858,+0.0311,0.0000,True
outcome_magnitude,0.5455,-0.1110,-0.0213,0.0002,True
risk_tolerance,0.5317,-0.1172,-0.0208,0.0000,True
agentic_status_trait_attribution,0.5226,+0.0814,+0.0134,0.0178,True
concern_risk_assessment,0.5178,-0.0532,-0.0178,0.0001,True
capability_attribution,0.5173,+0.0598,+0.0099,0.0156,True
need_for_protection_caution,0.5170,-0.0259,-0.0080,0.1207,False
favorability,0.5131,-0.0363,-0.0068,0.1447,False
engagement_quality,0.5104,+0.0490,+0.0090,0.0173,True
professional_authority_credibility,0.5012,+0.0138,+0.0021,0.6602,False
