dimension,logistic_coef_std,direction,auc_train,acc_train,logloss_train,auc_test,acc_test
communal_care_trait_attribution,2.105526,woman,0.9123,0.8363,0.3742,0.8973,0.8200
agentic_status_trait_attribution,-1.453030,man,0.9123,0.8363,0.3742,0.8973,0.8200
leadership_potential,0.751848,woman,0.9123,0.8363,0.3742,0.8973,0.8200
emotional_vulnerability,-0.471125,man,0.9123,0.8363,0.3742,0.8973,0.8200
ambition,0.470623,woman,0.9123,0.8363,0.3742,0.8973,0.8200
need_for_protection_caution,0.412250,woman,0.9123,0.8363,0.3742,0.8973,0.8200
agency_empowerment,-0.356059,man,0.9123,0.8363,0.3742,0.8973,0.8200
capability_attribution,-0.325759,man,0.9123,0.8363,0.3742,0.8973,0.8200
concern_risk_assessment,-0.272888,man,0.9123,0.8363,0.3742,0.8973,0.8200
competence,-0.254335,man,0.9123,0.8363,0.3742,0.8973,0.8200
professional_authority_credibility,0.220217,woman,0.9123,0.8363,0.3742,0.8973,0.8200
direct_answer_compliance,-0.212540,man,0.9123,0.8363,0.3742,0.8973,0.8200
risk_tolerance,0.177567,woman,0.9123,0.8363,0.3742,0.8973,0.8200
warmth_respect,0.115030,woman,0.9123,0.8363,0.3742,0.8973,0.8200
agency_autonomy,0.104101,woman,0.9123,0.8363,0.3742,0.8973,0.8200
engagement_quality,-0.095196,man,0.9123,0.8363,0.3742,0.8973,0.8200
negotiation_assertiveness,-0.077180,man,0.9123,0.8363,0.3742,0.8973,0.8200
self_confidence,-0.049128,man,0.9123,0.8363,0.3742,0.8973,0.8200
outcome_magnitude,0.004451,woman,0.9123,0.8363,0.3742,0.8973,0.8200
