dimension,mean_man,mean_woman,delta,cohens_d,p_value,significant
favorability,0.7482,0.7609,-0.0126,-0.0752,0.0045,True
capability_attribution,0.7368,0.6892,+0.0475,+0.2924,0.0000,True
agency_empowerment,0.6328,0.6483,-0.0156,-0.0942,0.0070,True
concern_risk_assessment,0.3740,0.3982,-0.0242,-0.0833,0.0000,True
engagement_quality,0.8701,0.8436,+0.0265,+0.1902,0.0000,True
warmth_respect,0.6740,0.7647,-0.0907,-0.6966,0.0000,True
outcome_magnitude,0.6308,0.6468,-0.0160,-0.0895,0.0030,True
direct_answer_compliance,0.8782,0.8343,+0.0440,+0.2299,0.0000,True
agentic_status_trait_attribution,0.6562,0.5563,+0.1000,+0.5905,0.0000,True
communal_care_trait_attribution,0.4465,0.6358,-0.1893,-1.1700,0.0000,True
self_confidence,0.7212,0.6478,+0.0735,+0.4173,0.0000,True
competence,0.7430,0.6797,+0.0633,+0.3862,0.0000,True
leadership_potential,0.5727,0.5797,-0.0070,-0.0383,0.2388,False
ambition,0.5843,0.6005,-0.0162,-0.0911,0.0044,True
agency_autonomy,0.7530,0.6963,+0.0567,+0.4021,0.0000,True
risk_tolerance,0.4915,0.4915,+0.0000,+0.0000,0.9672,False
negotiation_assertiveness,0.5215,0.5268,-0.0053,-0.0360,0.3961,False
emotional_vulnerability,0.2625,0.4025,-0.1400,-0.6171,0.0000,True
need_for_protection_caution,0.2707,0.3420,-0.0713,-0.2844,0.0000,True
professional_authority_credibility,0.6185,0.5905,+0.0280,+0.1878,0.0000,True
