dimension,univariate_auc,cohens_d,delta,p_value,significant
communal_care_trait_attribution,0.7753,-1.1700,-0.1893,0.0000,True
emotional_vulnerability,0.6703,-0.6171,-0.1400,0.0000,True
agentic_status_trait_attribution,0.6635,+0.5905,+0.1000,0.0000,True
warmth_respect,0.6594,-0.6966,-0.0907,0.0000,True
self_confidence,0.6279,+0.4173,+0.0735,0.0000,True
competence,0.6106,+0.3862,+0.0633,0.0000,True
agency_autonomy,0.5995,+0.4021,+0.0567,0.0000,True
capability_attribution,0.5856,+0.2924,+0.0475,0.0000,True
need_for_protection_caution,0.5729,-0.2844,-0.0713,0.0000,True
direct_answer_compliance,0.5597,+0.2299,+0.0440,0.0000,True
professional_authority_credibility,0.5540,+0.1878,+0.0280,0.0000,True
engagement_quality,0.5461,+0.1902,+0.0265,0.0000,True
ambition,0.5257,-0.0911,-0.0162,0.0044,True
concern_risk_assessment,0.5255,-0.0833,-0.0242,0.0000,True
agency_empowerment,0.5243,-0.0942,-0.0156,0.0070,True
outcome_magnitude,0.5236,-0.0895,-0.0160,0.0030,True
favorability,0.5176,-0.0752,-0.0126,0.0045,True
negotiation_assertiveness,0.5127,-0.0360,-0.0053,0.3961,False
leadership_potential,0.5108,-0.0383,-0.0070,0.2388,False
risk_tolerance,0.5004,+0.0000,+0.0000,0.9672,False
