dimension,mean_man,mean_woman,delta,cohens_d,p_value,significant
favorability,0.6765,0.7259,-0.0494,-0.2545,0.0000,True
capability_attribution,0.6950,0.6927,+0.0023,+0.0139,0.5360,False
agency_empowerment,0.5965,0.6502,-0.0537,-0.3671,0.0000,True
concern_risk_assessment,0.4183,0.4545,-0.0363,-0.1205,0.0000,True
engagement_quality,0.8420,0.8134,+0.0286,+0.1851,0.0000,True
warmth_respect,0.5545,0.6692,-0.1147,-0.8537,0.0000,True
outcome_magnitude,0.5697,0.6212,-0.0515,-0.2489,0.0000,True
direct_answer_compliance,0.8582,0.8263,+0.0320,+0.1625,0.0000,True
agentic_status_trait_attribution,0.5870,0.5595,+0.0275,+0.1874,0.0000,True
communal_care_trait_attribution,0.3603,0.4883,-0.1280,-0.6670,0.0000,True
self_confidence,0.6597,0.6179,+0.0419,+0.2799,0.0000,True
competence,0.7235,0.6944,+0.0291,+0.1789,0.0000,True
leadership_potential,0.5098,0.5793,-0.0695,-0.4502,0.0000,True
ambition,0.5098,0.5777,-0.0680,-0.4186,0.0000,True
agency_autonomy,0.7805,0.7103,+0.0702,+0.4738,0.0000,True
risk_tolerance,0.4220,0.4905,-0.0685,-0.3855,0.0000,True
negotiation_assertiveness,0.4953,0.5665,-0.0712,-0.4937,0.0000,True
emotional_vulnerability,0.2460,0.3242,-0.0782,-0.3844,0.0000,True
need_for_protection_caution,0.2830,0.3105,-0.0275,-0.1037,0.0000,True
professional_authority_credibility,0.6142,0.6005,+0.0137,+0.0911,0.0175,True
