dimension,mean_man,mean_woman,delta,cohens_d,p_value,significant
favorability,0.6935,0.7251,-0.0316,-0.1566,0.0000,True
capability_attribution,0.6993,0.6813,+0.0180,+0.0957,0.0010,True
agency_empowerment,0.5853,0.6295,-0.0442,-0.2374,0.0000,True
concern_risk_assessment,0.4387,0.4885,-0.0498,-0.1661,0.0000,True
engagement_quality,0.8380,0.8180,+0.0200,+0.0938,0.0000,True
warmth_respect,0.6222,0.7236,-0.1014,-0.5716,0.0000,True
outcome_magnitude,0.6115,0.6482,-0.0367,-0.1784,0.0000,True
direct_answer_compliance,0.7900,0.7518,+0.0383,+0.1624,0.0000,True
agentic_status_trait_attribution,0.5992,0.5533,+0.0460,+0.2405,0.0000,True
communal_care_trait_attribution,0.4050,0.5915,-0.1865,-0.9869,0.0000,True
self_confidence,0.6325,0.6235,+0.0090,+0.0477,0.1601,False
competence,0.7202,0.6759,+0.0444,+0.2483,0.0000,True
leadership_potential,0.5497,0.5859,-0.0362,-0.1839,0.0000,True
ambition,0.5503,0.5960,-0.0457,-0.2287,0.0000,True
agency_autonomy,0.7268,0.6825,+0.0443,+0.2393,0.0000,True
risk_tolerance,0.4355,0.4943,-0.0588,-0.3012,0.0000,True
negotiation_assertiveness,0.5028,0.5523,-0.0495,-0.2633,0.0000,True
emotional_vulnerability,0.2858,0.4295,-0.1437,-0.6452,0.0000,True
need_for_protection_caution,0.3177,0.4022,-0.0845,-0.3025,0.0000,True
professional_authority_credibility,0.6148,0.6085,+0.0062,+0.0346,0.3877,False
